GW,heuristic_captain,heuristic_captain_pts,heuristic_captain_pts_doubled,best_possible_captain,best_possible_pts,best_possible_pts_doubled,field_average_pts,eligible_pool_size
2,Mohamed Salah,3,6,Heung-Min Son,24,48,3.00561797752809,178
3,Ezri Konsa Ngoyo,6,12,Jamie Vardy,17,34,2.8095238095238093,231
4,Tyrone Mings,1,2,Jack Grealish,24,48,2.81651376146789,218
5,Jack Grealish,3,6,Harry Kane,16,32,2.6533333333333333,225
6,Harry Kane,5,10,Patrick Bamford,17,34,2.6767241379310347,232
7,Heung-Min Son,2,4,James Ward-Prowse,17,34,2.8209606986899565,229
8,Heung-Min Son,3,6,Bruno Miguel Borges Fernandes,17,34,2.9596412556053813,223
9,Bruno Miguel Borges Fernandes,11,22,Dominic Calvert-Lewin,13,26,3.018018018018018,222
10,Bruno Miguel Borges Fernandes,10,20,Riyad Mahrez,21,42,2.8,225
11,Bruno Miguel Borges Fernandes,6,12,Wilfried Zaha,18,36,2.5904761904761906,210
12,Bruno Miguel Borges Fernandes,3,6,James Maddison,16,32,2.908296943231441,229
13,Bruno Miguel Borges Fernandes,2,4,Marcus Rashford,14,28,2.638888888888889,216
14,Mohamed Salah,16,32,Scott McTominay,18,36,2.706422018348624,218
15,Mohamed Salah,2,4,Kortney Hause,15,30,2.7767857142857144,224
16,Bruno Miguel Borges Fernandes,6,12,Ben Mee,15,30,2.878612716763006,173
17,Bruno Miguel Borges Fernandes,10,20,Kieran Tierney,18,36,2.8040201005025125,199
18,Bruno Miguel Borges Fernandes,2,4,Michael Keane,11,22,2.6715328467153285,137
19,John Stones,6,12,John Stones,21,42,3.005970149253731,335
20,John Stones,6,12,João Pedro Cavaco Cancelo,17,34,3.0545454545454547,220
21,John Stones,0,0,César Azpilicueta,15,30,2.9070796460176993,226
22,Matheus Pereira,1,2,Aaron Wan-Bissaka,17,34,2.6491228070175437,228
23,Ilkay Gündogan,13,26,Phil Foden,16,32,2.9145299145299144,234
24,Ilkay Gündogan,0,0,Ilkay Gündogan,19,38,2.827956989247312,279
25,Bruno Miguel Borges Fernandes,12,24,Stuart Dallas,15,30,2.6775510204081634,245
26,Bruno Miguel Borges Fernandes,3,6,Kyle Bartley,15,30,2.83160621761658,386
27,Riyad Mahrez,2,4,Harry Kane,19,38,2.9357429718875503,249
28,Riyad Mahrez,0,0,Kelechi Iheanacho,17,34,2.7665198237885464,227
29,Gareth Bale,0,0,Leandro Trossard,14,28,2.662921348314607,89
30,Luke Shaw,2,4,Matheus Pereira,21,42,2.5315315315315314,222
31,Harry Kane,2,4,Stuart Dallas,17,34,2.648888888888889,225
32,Kelechi Iheanacho,6,12,Gylfi Sigurdsson,15,30,2.532751091703057,229
33,Jesse Lingard,2,4,Chris Wood,20,40,2.9344262295081966,183
34,Matheus Pereira,2,4,Serge Aurier,14,28,2.3726415094339623,212
35,Kelechi Iheanacho,7,14,Eberechi Eze,14,28,2.65819209039548,354
36,Chris Wood,2,4,Ferran Torres,20,40,2.7637362637362637,182
37,Gareth Bale,1,2,Andrew Robertson,15,30,2.482905982905983,234
38,Ferran Torres,1,2,Pablo Fornals,19,38,2.7354260089686098,223
