name,position,team,opponent_team,was_home,GW,value,minutes,total_points,form_points,form_minutes,form_ict,last_gw_points,season_form_points,opp_goals_conceded_form,opp_goals_scored_form,fixture_difficulty
Aaron Cresswell,DEF,West Ham,12,True,6,50,90,2,7.0,90.0,8.075000000000001,5.0,5.8,1.75,1.75,4
Aaron Cresswell,DEF,West Ham,11,False,7,50,90,1,7.25,90.0,7.125,2.0,5.166666666666667,2.75,2.25,3
Aaron Cresswell,DEF,West Ham,8,True,8,51,90,6,5.75,90.0,5.525,1.0,4.571428571428571,1.0,1.0,2
Aaron Cresswell,DEF,West Ham,15,False,9,51,90,7,3.5,90.0,5.35,6.0,4.75,2.0,0.75,2
Aaron Cresswell,DEF,West Ham,2,True,10,52,90,2,4.0,90.0,4.65,7.0,5.0,2.25,1.75,2
Aaron Cresswell,DEF,West Ham,13,True,11,52,90,1,4.0,90.0,4.525,2.0,4.7,1.0,1.75,4
Aaron Cresswell,DEF,West Ham,10,False,12,52,90,5,4.0,90.0,5.225,1.0,4.363636363636363,1.75,0.75,3
Aaron Cresswell,DEF,West Ham,6,True,13,52,90,2,3.75,90.0,4.35,5.0,4.416666666666667,1.25,1.5,2
Aaron Cresswell,DEF,West Ham,5,False,14,52,90,1,2.5,90.0,3.625,2.0,4.230769230769231,1.0,1.0,4
Aaron Cresswell,DEF,West Ham,3,True,15,53,90,4,2.25,90.0,4.125,1.0,4.0,1.5,0.5,3
Aaron Cresswell,DEF,West Ham,16,False,16,53,90,6,3.0,90.0,3.925,4.0,4.0,0.5,1.0,2
Aaron Cresswell,DEF,West Ham,7,False,17,53,90,11,3.25,90.0,2.8499999999999996,6.0,4.125,0.25,1.5,3
Aaron Cresswell,DEF,West Ham,4,True,19,54,90,8,5.5,90.0,3.225,11.0,4.529411764705882,0.75,0.75,2
Aaron Cresswell,DEF,West Ham,18,True,19,54,90,2,7.25,90.0,2.6999999999999997,8.0,4.722222222222222,3.25,0.25,2
Aaron Cresswell,DEF,West Ham,6,False,20,54,90,5,6.75,90.0,3.3,2.0,4.578947368421052,1.25,0.75,3
Aaron Cresswell,DEF,West Ham,11,True,21,55,90,4,6.5,90.0,3.975,5.0,4.6,0.5,0.75,4
Aaron Cresswell,DEF,West Ham,2,False,22,56,90,1,4.75,90.0,3.75,4.0,4.571428571428571,1.75,1.0,3
Aaron Cresswell,DEF,West Ham,8,False,23,57,90,9,3.0,90.0,4.575,1.0,4.409090909090909,1.25,0.5,2
Aaron Cresswell,DEF,West Ham,15,True,24,58,90,12,4.75,90.0,4.199999999999999,9.0,4.608695652173913,1.25,1.25,2
Aaron Cresswell,DEF,West Ham,17,True,25,58,90,2,6.5,90.0,4.55,12.0,4.916666666666667,1.25,0.5,3
Aaron Cresswell,DEF,West Ham,12,False,26,58,90,1,6.0,90.0,5.2,2.0,4.8,0.25,2.5,5
