season,formula,n_gw,total_pts,avg_pts_per_gw,hit_rate,gap_capture
2020-21,composite,37,402,10.864864864864865,0.0,0.1864851891596737
2020-21,form_fdr,37,318,8.594594594594595,0.05405405405405406,0.10702560298457205
2020-21,form_proxy_only,37,292,7.891891891891892,0.02702702702702703,0.08243096916846916
2020-21,form_blended_fixture,37,292,7.891891891891892,0.05405405405405406,0.08243096916846916
2020-21,ict_fixture,37,458,12.378378378378379,0.0,0.23945824660974147
2020-21,momentum_last_gw,37,206,5.5675675675675675,0.05405405405405406,0.001079488084436528
2020-21,expanding_season_form,37,374,10.108108108108109,0.0,0.1599986604346398
2020-21,form_fdr_home_adjusted,37,330,8.91891891891892,0.05405405405405406,0.11837697243815799
2021-22,composite,37,528,14.27027027027027,0.10810810810810811,0.32149329200889143
2021-22,form_fdr,37,430,11.621621621621621,0.05405405405405406,0.22540419174425466
2021-22,form_proxy_only,37,470,12.702702702702704,0.05405405405405406,0.2646242326685962
2021-22,form_blended_fixture,37,482,13.027027027027026,0.05405405405405406,0.27639024494589864
2021-22,ict_fixture,37,372,10.054054054054054,0.02702702702702703,0.16853513240395943
2021-22,momentum_last_gw,37,314,8.486486486486486,0.0,0.1116660730636642
2021-22,expanding_season_form,37,472,12.756756756756756,0.10810810810810811,0.26658523471481327
2021-22,form_fdr_home_adjusted,37,468,12.64864864864865,0.05405405405405406,0.2626632306223791
2022-23,composite,36,408,11.333333333333334,0.05555555555555555,0.20483815475052167
2022-23,form_fdr,36,376,10.444444444444445,0.05555555555555555,0.17311099883034298
2022-23,form_proxy_only,36,366,10.166666666666666,0.05555555555555555,0.16319626260528716
2022-23,form_blended_fixture,36,380,10.555555555555555,0.05555555555555555,0.17707689332036533
2022-23,ict_fixture,36,366,10.166666666666666,0.027777777777777776,0.16319626260528716
2022-23,momentum_last_gw,36,294,8.166666666666666,0.0,0.0918101617848851
2022-23,expanding_season_form,36,486,13.5,0.08333333333333333,0.28217309730595724
2022-23,form_fdr_home_adjusted,36,362,10.055555555555555,0.05555555555555555,0.1592303681152648
2023-24,composite,37,368,9.945945945945946,0.05405405405405406,0.15397220035653758
2023-24,form_fdr,37,380,10.27027027027027,0.08108108108108109,0.16481871060837683
2023-24,form_proxy_only,37,392,10.594594594594595,0.08108108108108109,0.1756652208602161
2023-24,form_blended_fixture,37,368,9.945945945945946,0.08108108108108109,0.15397220035653758
2023-24,ict_fixture,37,430,11.621621621621621,0.05405405405405406,0.21001250332437377
2023-24,momentum_last_gw,37,324,8.756756756756756,0.02702702702702703,0.11420166276646028
2023-24,expanding_season_form,37,464,12.54054054054054,0.08108108108108109,0.24074428237125167
2023-24,form_fdr_home_adjusted,37,390,10.54054054054054,0.08108108108108109,0.1738574691515762
2024-25,composite,37,644,17.405405405405407,0.16216216216216217,0.4209300107347594
2024-25,form_fdr,37,586,15.837837837837839,0.13513513513513514,0.365689781495641
2024-25,form_proxy_only,37,578,15.621621621621621,0.10810810810810811,0.3580704395316247
2024-25,form_blended_fixture,37,580,15.675675675675675,0.13513513513513514,0.35997527502262877
2024-25,ict_fixture,37,486,13.135135135135135,0.08108108108108109,0.27044800694543697
2024-25,momentum_last_gw,37,378,10.216216216216216,0.02702702702702703,0.16758689043121655
2024-25,expanding_season_form,37,626,16.91891891891892,0.13513513513513514,0.40378649131572264
2024-25,form_fdr_home_adjusted,37,608,16.43243243243243,0.13513513513513514,0.38664297189668595
2025-26,composite,37,404,10.91891891891892,0.02702702702702703,0.18307829314869176
2025-26,form_fdr,37,360,9.72972972972973,0.0,0.1392434698542313
2025-26,form_proxy_only,37,320,8.64864864864865,0.0,0.09939363049563091
2025-26,form_blended_fixture,37,316,8.54054054054054,0.0,0.09540864655977087
2025-26,ict_fixture,37,396,10.702702702702704,0.0,0.17510832527697168
2025-26,momentum_last_gw,37,326,8.81081081081081,0.0,0.10537110639942097
2025-26,expanding_season_form,37,404,10.91891891891892,0.02702702702702703,0.18307829314869176
2025-26,form_fdr_home_adjusted,37,340,9.18918918918919,0.0,0.11931855017493112
