name,position,team,opponent_team,was_home,GW,value,minutes,total_points,form_points,form_minutes,form_ict,last_gw_points,season_form_points,opp_goals_conceded_form,opp_goals_scored_form,fixture_difficulty
Aaron Hickey,DEF,Brentford,16,False,1,40,2,0,,,,,,,,3
Aaron Hickey,DEF,Brentford,2,True,2,40,11,1,0.0,2.0,0.2,0.0,0.0,0.0,0.0,3
Aaron Hickey,DEF,Brentford,17,False,3,40,0,0,0.5,6.5,0.30000000000000004,1.0,0.5,1.0,1.5,3
Aaron Hickey,DEF,Brentford,7,True,4,40,7,1,0.3333333333333333,4.333333333333333,0.20000000000000004,0.0,0.3333333333333333,0.3333333333333333,2.3333333333333335,3
Aaron Hickey,DEF,Brentford,10,False,5,40,0,0,0.5,5.0,0.17500000000000002,1.0,0.5,1.0,0.75,3
Aaron Hickey,DEF,Brentford,14,True,6,40,74,2,0.5,4.5,0.125,0.0,0.4,1.75,1.5,3
Aaron Hickey,DEF,Brentford,13,True,7,40,90,2,0.75,20.25,0.15000000000000002,2.0,0.6666666666666666,1.0,2.5,4
Aaron Hickey,DEF,Brentford,19,False,8,40,0,0,1.25,42.75,0.275,2.0,0.8571428571428571,2.0,0.5,3
Aaron Hickey,DEF,Brentford,12,True,9,40,0,0,1.0,41.0,0.25,0.0,0.75,1.75,1.25,3
Aaron Hickey,DEF,Brentford,8,False,10,40,0,0,1.0,41.0,0.25,0.0,0.6666666666666666,1.75,1.5,3
Aaron Hickey,DEF,Brentford,15,True,11,40,69,2,0.5,22.5,0.12500000000000003,0.0,0.6,1.5,1.5,3
Aaron Hickey,DEF,Brentford,6,False,12,40,10,1,0.5,17.25,1.075,2.0,0.7272727272727273,1.25,1.75,4
Aaron Hickey,DEF,Brentford,3,True,13,40,73,8,0.75,19.75,1.175,1.0,0.75,2.25,1.25,1
Aaron Hickey,DEF,Brentford,1,False,14,40,0,0,2.75,38.0,1.7999999999999998,8.0,1.3076923076923077,1.0,2.25,5
Aaron Hickey,DEF,Brentford,18,False,15,40,14,1,2.75,38.0,1.7999999999999998,0.0,1.2142857142857142,2.5,1.5,3
Aaron Hickey,DEF,Brentford,11,True,16,40,60,6,2.5,24.25,0.725,1.0,1.2,2.25,2.25,2
Aaron Hickey,DEF,Brentford,20,False,17,40,0,0,3.75,36.75,0.775,6.0,1.5,2.0,0.5,2
Aaron Hickey,DEF,Brentford,4,True,18,40,13,1,1.75,18.5,0.15,0.0,1.411764705882353,1.5,1.25,3
Aaron Hickey,DEF,Brentford,18,True,19,40,0,0,2.0,21.75,0.175,1.0,1.3888888888888888,1.25,1.0,3
Aaron Hickey,DEF,Brentford,9,False,20,40,75,2,1.75,18.25,0.175,0.0,1.3157894736842106,0.75,0.5,3
Aaron Hickey,DEF,Brentford,17,True,21,40,8,1,0.75,22.0,0.30000000000000004,2.0,1.35,0.5,0.5,2
Aaron Hickey,DEF,Brentford,7,False,22,40,8,1,1.0,24.0,0.30000000000000004,1.0,1.3333333333333333,1.75,1.25,3
Aaron Hickey,DEF,Brentford,16,True,23,40,23,1,1.0,22.75,0.375,1.0,1.3181818181818181,1.5,0.75,3
Aaron Hickey,DEF,Brentford,2,False,24,40,6,1,1.25,28.5,0.42500000000000004,1.0,1.3043478260869565,0.5,1.25,4
Aaron Hickey,DEF,Brentford,15,False,25,40,0,0,1.0,11.25,0.525,1.0,1.2916666666666667,2.25,1.25,3
Aaron Hickey,DEF,Brentford,1,True,26,40,1,1,0.75,9.25,0.525,0.0,1.24,0.75,2.25,4
Aaron Hickey,DEF,Brentford,6,True,27,40,44,1,0.75,7.5,0.42500000000000004,1.0,1.2307692307692308,1.25,0.5,3
Aaron Hickey,DEF,Brentford,3,False,28,40,0,0,0.75,12.75,0.65,1.0,1.2222222222222223,2.0,1.0,2
Aaron Hickey,DEF,Brentford,4,False,29,40,0,0,0.5,11.25,0.275,0.0,1.1785714285714286,0.75,1.0,4
Aaron Hickey,DEF,Brentford,20,True,30,40,0,0,0.5,11.25,0.275,0.0,1.1379310344827587,0.5,1.0,1
Aaron Hickey,DEF,Brentford,11,False,31,40,0,0,0.25,11.0,0.275,0.0,1.1,0.75,0.25,3
Aaron Hickey,DEF,Brentford,9,True,32,40,0,0,0.0,0.0,0.0,0.0,1.064516129032258,1.0,2.0,3
Aaron Hickey,DEF,Brentford,10,True,33,40,0,0,0.0,0.0,0.0,0.0,1.03125,1.0,0.75,3
Aaron Hickey,DEF,Brentford,14,False,34,40,0,0,0.0,0.0,0.0,0.0,1.0,1.25,1.75,4
Aaron Hickey,DEF,Brentford,19,True,35,40,1,1,0.0,0.0,0.0,0.0,0.9705882352941176,0.75,1.5,2
Aaron Hickey,DEF,Brentford,13,False,36,40,60,2,0.25,0.25,0.05,1.0,0.9714285714285714,1.25,2.25,5
Aaron Hickey,DEF,Brentford,8,True,37,40,0,0,0.75,15.25,0.425,2.0,1.0,2.0,0.75,3
Aaron Hickey,DEF,Brentford,12,False,38,40,30,1,0.75,15.25,0.425,0.0,0.972972972972973,2.25,2.0,4
Aaron Ramsdale,GK,Newcastle,2,False,1,50,0,0,,,,,,,,4
Aaron Ramsdale,GK,Newcastle,12,True,2,50,0,0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,3
Aaron Ramsdale,GK,Newcastle,11,False,3,50,0,0,0.0,0.0,0.0,0.0,0.0,2.5,0.5,3
Aaron Ramsdale,GK,Newcastle,20,True,4,49,0,0,0.0,0.0,0.0,0.0,0.0,2.6666666666666665,0.6666666666666666,1
Aaron Ramsdale,GK,Newcastle,4,False,5,49,0,0,0.0,0.0,0.0,0.0,0.0,1.25,1.5,4
Aaron Ramsdale,GK,Newcastle,1,True,6,49,0,0,0.0,0.0,0.0,0.0,0.0,0.5,2.25,4
Aaron Ramsdale,GK,Newcastle,16,True,7,49,0,0,0.0,0.0,0.0,0.0,0.0,2.0,0.25,3
Aaron Ramsdale,GK,Newcastle,6,False,8,48,0,0,0.0,0.0,0.0,0.0,0.0,1.5,1.75,4
Aaron Ramsdale,GK,Newcastle,10,True,9,48,0,0,0.0,0.0,0.0,0.0,0.0,2.0,1.25,3
Aaron Ramsdale,GK,Newcastle,19,False,10,48,0,0,0.0,0.0,0.0,0.0,0.0,1.75,0.5,3
Aaron Ramsdale,GK,Newcastle,5,False,11,48,13,0,0.0,0.0,0.0,0.0,0.0,1.25,1.25,3
Aaron Ramsdale,GK,Newcastle,13,True,12,48,0,0,0.0,3.25,0.225,0.0,0.0,0.5,2.0,4
Aaron Ramsdale,GK,Newcastle,9,False,13,48,90,2,0.0,3.25,0.225,0.0,0.0,1.0,1.0,3
Aaron Ramsdale,GK,Newcastle,18,True,14,48,90,1,0.5,25.75,0.42500000000000004,2.0,0.15384615384615385,2.25,1.0,3
Aaron Ramsdale,GK,Newcastle,3,True,15,48,90,2,0.75,48.25,0.5,1.0,0.21428571428571427,2.25,0.75,1
Aaron Ramsdale,GK,Newcastle,17,False,16,48,90,2,1.25,67.5,0.7250000000000001,2.0,0.3333333333333333,1.75,1.0,3
Aaron Ramsdale,GK,Newcastle,7,True,17,48,90,1,1.75,90.0,1.05,2.0,0.4375,1.0,1.0,3
Aaron Ramsdale,GK,Newcastle,14,False,18,48,90,3,1.5,90.0,1.6749999999999998,1.0,0.47058823529411764,2.0,2.5,4
Aaron Ramsdale,GK,Newcastle,3,False,19,48,0,0,2.0,90.0,2.2,3.0,0.6111111111111112,1.5,1.0,2
Aaron Ramsdale,GK,Newcastle,8,True,20,48,0,0,1.5,67.5,1.75,0.0,0.5789473684210527,2.25,0.5,3
Aaron Ramsdale,GK,Newcastle,11,True,21,48,0,0,1.0,45.0,1.4249999999999998,0.0,0.55,0.75,1.5,2
Aaron Ramsdale,GK,Newcastle,20,False,22,48,0,0,0.75,22.5,0.6,0.0,0.5238095238095238,1.0,1.5,2
Aaron Ramsdale,GK,Newcastle,2,True,23,48,0,0,0.0,0.0,0.0,0.0,0.5,1.5,1.0,3
Aaron Ramsdale,GK,Newcastle,12,False,24,48,0,0,0.0,0.0,0.0,0.0,0.4782608695652174,1.5,1.25,4
Aaron Ramsdale,GK,Newcastle,5,True,25,48,0,0,0.0,0.0,0.0,0.0,0.4583333333333333,1.0,1.0,3
Aaron Ramsdale,GK,Newcastle,18,False,26,48,0,0,0.0,0.0,0.0,0.0,0.44,2.0,1.25,3
Aaron Ramsdale,GK,Newcastle,13,False,27,48,0,0,0.0,0.0,0.0,0.0,0.4230769230769231,0.75,2.25,5
Aaron Ramsdale,GK,Newcastle,9,True,28,48,0,0,0.0,0.0,0.0,0.0,0.4074074074074074,1.25,1.0,3
Aaron Ramsdale,GK,Newcastle,14,True,29,48,90,3,0.0,0.0,0.0,0.0,0.39285714285714285,0.5,1.5,3
Aaron Ramsdale,GK,Newcastle,7,False,30,48,90,7,0.75,22.5,0.7,3.0,0.4827586206896552,1.5,2.0,3
Aaron Ramsdale,GK,Newcastle,17,True,31,48,90,2,2.5,45.0,1.125,7.0,0.7,1.25,0.75,2
Aaron Ramsdale,GK,Newcastle,8,False,32,48,90,1,3.0,67.5,1.9749999999999999,2.0,0.7419354838709677,0.75,1.25,3
Aaron Ramsdale,GK,Newcastle,4,True,33,48,90,1,3.25,90.0,2.55,1.0,0.75,0.75,1.0,3
Aaron Ramsdale,GK,Newcastle,1,False,34,48,0,0,2.75,90.0,2.175,1.0,0.7575757575757576,1.0,1.25,5
Aaron Ramsdale,GK,Newcastle,6,True,35,48,0,0,1.0,67.5,1.7499999999999998,0.0,0.7352941176470589,0.75,1.75,3
Aaron Ramsdale,GK,Newcastle,16,False,36,48,0,0,0.5,45.0,0.8999999999999999,0.0,0.7142857142857143,0.75,3.25,3
Aaron Ramsdale,GK,Newcastle,19,True,37,48,0,0,0.25,22.5,0.325,0.0,0.6944444444444444,1.25,0.5,2
Aaron Ramsdale,GK,Newcastle,10,False,38,48,0,0,0.0,0.0,0.0,0.0,0.6756756756756757,1.25,0.5,3
Aaron Ramsey,MID,Burnley,18,False,1,45,0,0,,,,,,,,3
Aaron Ramsey,MID,Burnley,17,True,2,45,0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2
Aaron Ramsey,MID,Burnley,14,False,3,45,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,4
Aaron Ramsey,MID,Burnley,12,True,4,44,0,0,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,2.6666666666666665,3
Aaron Ramsey,MID,Burnley,16,True,5,44,0,0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3
Aaron Ramsey,MID,Burnley,13,False,6,44,0,0,0.0,0.0,0.0,0.0,0.0,1.25,1.25,5
Aaron Ramsey,MID,Burnley,2,False,7,44,0,0,0.0,0.0,0.0,0.0,0.0,1.25,1.0,4
Aaron Ramsey,MID,Burnley,11,True,8,44,0,0,0.0,0.0,0.0,0.0,0.0,1.5,1.5,2
Aaron Ramsey,MID,Burnley,20,False,9,44,0,0,0.0,0.0,0.0,0.0,0.0,1.75,0.75,2
Aaron Ramsey,MID,Burnley,1,True,10,44,0,0,0.0,0.0,0.0,0.0,0.0,0.25,1.5,4
Aaron Ramsey,MID,Burnley,19,False,11,44,0,0,0.0,0.0,0.0,0.0,0.0,1.75,1.0,3
Aaron Ramsey,MID,Burnley,7,True,12,44,0,0,0.0,0.0,0.0,0.0,0.0,0.5,2.0,3
Aaron Ramsey,MID,Burnley,5,False,13,44,0,0,0.0,0.0,0.0,0.0,0.0,1.75,1.75,3
Aaron Ramsey,MID,Burnley,8,True,14,44,0,0,0.0,0.0,0.0,0.0,0.0,0.5,1.25,3
Aaron Ramsey,MID,Burnley,15,False,15,44,0,0,0.0,0.0,0.0,0.0,0.0,1.75,2.25,3
Aaron Ramsey,MID,Burnley,10,True,16,44,0,0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3
Aaron Ramsey,MID,Burnley,4,False,17,44,0,0,0.0,0.0,0.0,0.0,0.0,2.0,1.5,4
Aaron Ramsey,MID,Burnley,9,True,18,44,0,0,0.0,0.0,0.0,0.0,0.0,0.75,1.0,3
Aaron Ramsey,MID,Burnley,15,True,19,44,0,0,0.0,0.0,0.0,0.0,0.0,1.25,1.0,3
Aaron Ramsey,MID,Burnley,6,False,20,44,0,0,0.0,0.0,0.0,0.0,0.0,1.5,0.75,4
Aaron Ramsey,MID,Burnley,14,True,21,44,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3
Aaron Ramsey,MID,Burnley,12,False,22,44,0,0,0.0,0.0,0.0,0.0,0.0,0.75,1.0,4
Aaron Ramsey,MID,Burnley,18,True,23,44,0,0,0.0,0.0,0.0,0.0,0.0,1.5,1.0,3
Aaron Ramsey,MID,Burnley,17,False,24,44,0,0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3
Aaron Ramsey,MID,Burnley,19,True,25,44,0,0,0.0,0.0,0.0,0.0,0.0,1.75,2.0,2
Aaron Ramsey,MID,Burnley,8,False,26,44,0,0,0.0,0.0,0.0,0.0,0.0,1.5,1.0,3
Aaron Ramsey,MID,Burnley,7,False,27,44,0,0,0.0,0.0,0.0,0.0,0.0,1.5,2.75,3
Aaron Ramsey,MID,Burnley,5,True,28,44,0,0,0.0,0.0,0.0,0.0,0.0,1.25,1.25,3
Aaron Ramsey,MID,Burnley,9,False,29,44,0,0,0.0,0.0,0.0,0.0,0.0,1.5,1.5,3
Aaron Ramsey,MID,Burnley,4,True,30,44,0,0,0.0,0.0,0.0,0.0,0.0,0.5,0.75,3
Aaron Ramsey,MID,Burnley,10,False,31,44,0,0,0.0,0.0,0.0,0.0,0.0,0.75,1.25,3
Aaron Ramsey,MID,Burnley,6,True,32,44,0,0,0.0,0.0,0.0,0.0,0.0,0.75,1.25,3
Aaron Ramsey,MID,Burnley,16,False,33,44,0,0,0.0,0.0,0.0,0.0,0.0,0.75,1.5,3
Aaron Ramsey,MID,Burnley,13,True,33,44,0,0,0.0,0.0,0.0,0.0,0.0,0.75,1.75,4
Aaron Ramsey,MID,Burnley,11,False,35,44,0,0,0.0,0.0,0.0,0.0,0.0,0.25,1.25,3
Aaron Ramsey,MID,Burnley,2,True,36,44,0,0,0.0,0.0,0.0,0.0,0.0,1.75,1.5,3
Aaron Ramsey,MID,Burnley,1,False,37,44,0,0,0.0,0.0,0.0,0.0,0.0,0.5,1.5,5
Aaron Ramsey,MID,Burnley,20,True,38,44,0,0,0.0,0.0,0.0,0.0,0.0,1.5,0.5,1
Aaron Wan-Bissaka,DEF,West Ham,17,False,1,45,90,1,,,,,,,,3
Aaron Wan-Bissaka,DEF,West Ham,7,True,2,45,90,0,1.0,90.0,5.1,1.0,1.0,0.0,0.0,3
Aaron Wan-Bissaka,DEF,West Ham,16,False,3,44,0,0,0.5,90.0,4.4,0.0,0.5,1.0,2.0,3
Aaron Wan-Bissaka,DEF,West Ham,18,True,4,44,0,0,0.3333333333333333,60.0,2.9333333333333336,0.0,0.3333333333333333,0.3333333333333333,1.6666666666666667,3
Aaron Wan-Bissaka,DEF,West Ham,8,True,5,43,0,0,0.25,45.0,2.2,0.0,0.25,0.25,1.0,3
