GW,heuristic_captain,heuristic_captain_pts,heuristic_captain_pts_doubled,best_possible_captain,best_possible_pts,best_possible_pts_doubled,field_average_pts,eligible_pool_size
2,Mohamed Salah,10,20,Cole Palmer,17,34,3.0267857142857144,224
3,Erling Haaland,17,34,Erling Haaland,17,34,2.587443946188341,223
4,Erling Haaland,13,26,Gabriel dos Santos Magalhães,15,30,2.635514018691589,214
5,Erling Haaland,9,18,Luis Díaz,16,32,2.6294642857142856,224
6,Erling Haaland,2,4,Cole Palmer,25,50,2.709090909090909,220
7,Erling Haaland,2,4,Michail Antonio,18,36,3.1121076233183858,223
8,Cole Palmer,2,4,Michael Keane,14,28,2.7077625570776256,219
9,Cole Palmer,10,20,Bryan Mbeumo,15,30,2.416289592760181,221
10,Cole Palmer,3,6,Dominic Solanke-Mitchell,16,32,2.7333333333333334,225
11,Mohamed Salah,14,28,Bruno Borges Fernandes,17,34,2.732456140350877,228
12,Mohamed Salah,13,26,Matheus Santos Carneiro Da Cunha,16,32,2.5775862068965516,232
13,Mohamed Salah,13,26,Justin Kluivert,20,40,2.663755458515284,229
14,Mohamed Salah,18,36,Mohamed Salah,18,36,2.599099099099099,222
15,Bukayo Saka,2,4,Cole Palmer,18,36,2.445,200
16,Mohamed Salah,5,10,Ismaïla Sarr,17,34,2.68609865470852,223
17,Mohamed Salah,21,42,Mohamed Salah,21,42,3.0316742081447963,221
18,Mohamed Salah,9,18,Joelinton Cássio Apolinário de Lira,13,26,2.937777777777778,225
19,Mohamed Salah,16,32,Mohamed Salah,16,32,2.736607142857143,224
20,Mohamed Salah,7,14,Bryan Mbeumo,19,38,2.6425339366515836,221
21,Mohamed Salah,2,4,Amad Diallo,20,40,2.828828828828829,222
22,Alexander Isak,2,4,Justin Kluivert,22,44,2.7423580786026203,229
23,Phil Foden,7,14,Dango Ouattara,21,42,2.8430493273542603,223
24,Phil Foden,2,4,Chris Wood,17,34,2.8218623481781377,247
25,Justin Kluivert,5,10,Omar Marmoush,17,34,2.6040816326530614,245
26,Mohamed Salah,14,28,Marco Asensio,15,30,2.8078602620087336,229
27,Mohamed Salah,6,12,Ismaïla Sarr,15,30,2.9251101321585904,227
28,Mohamed Salah,15,30,Marc Cucurella Saseta,15,30,2.8430493273542603,223
29,Bruno Borges Fernandes,17,34,Bruno Borges Fernandes,17,34,2.8011363636363638,176
30,Mohamed Salah,3,6,Anthony Elanga,11,22,2.482142857142857,224
31,Mohamed Salah,2,4,Brennan Johnson,18,36,2.5652173913043477,230
32,Harvey Barnes,12,24,Aaron Ramsdale,16,32,2.765432098765432,243
33,Harvey Barnes,5,10,Bryan Mbeumo,18,36,2.6333333333333333,270
34,Harvey Barnes,3,6,Kieran Trippier,15,30,2.8863636363636362,176
35,Harvey Barnes,2,4,Kevin Schade,14,28,2.60093896713615,213
36,Yoane Wissa,1,2,Eberechi Eze,16,32,3.0045871559633026,218
37,Eberechi Eze,6,12,Ezri Konsa Ngoyo,15,30,2.6367713004484306,223
38,Eberechi Eze,3,6,Antoine Semenyo,16,32,2.617777777777778,225
