GW,heuristic_captain,heuristic_captain_pts,heuristic_captain_pts_doubled,best_possible_captain,best_possible_pts,best_possible_pts_doubled,field_average_pts,eligible_pool_size
2,Raphaël Varane,1,2,Bryan Mbeumo,16,32,2.8358208955223883,201
3,Solly March,2,4,Raheem Sterling,19,38,2.78125,224
4,Rodrigo Hernandez,1,2,Erling Haaland,20,40,2.713636363636364,220
5,Erling Haaland,6,12,Bernardo Veiga de Carvalho e Silva,13,26,2.442982456140351,228
6,Julián Álvarez,1,2,Kieran Trippier,18,36,2.848888888888889,225
7,Erling Haaland,2,4,Ollie Watkins,23,46,2.6929460580912865,241
8,Son Heung-min,3,6,Raheem Sterling,16,32,2.560185185185185,216
9,Kieran Trippier,10,20,Mohamed Salah,16,32,2.6448598130841123,214
10,Ollie Watkins,2,4,Eddie Nketiah,17,34,2.699074074074074,216
11,Ollie Watkins,2,4,Jérémy Doku,22,44,2.502283105022831,219
12,Mohamed Salah,16,32,Erling Haaland,16,32,2.6515837104072397,221
13,Erling Haaland,7,14,Marcus Tavernier,16,32,2.442922374429224,219
14,Erling Haaland,7,14,Ben Mee,14,28,2.6788990825688073,218
15,Anthony Gordon,2,4,Andreas Hoelgebaum Pereira,15,30,2.891891891891892,222
16,Trent Alexander-Arnold,4,8,Son Heung-min,17,34,2.6740088105726874,227
17,Trent Alexander-Arnold,9,18,Mohammed Kudus,16,32,2.633663366336634,202
18,Trent Alexander-Arnold,5,10,Dominic Solanke,17,34,2.413793103448276,203
19,Marcos Senesi,6,12,João Pedro Junqueira de Jesus,16,32,2.479638009049774,221
20,Marcos Senesi,0,0,Cole Palmer,18,36,2.6933333333333334,225
21,Cole Palmer,10,20,Gabriel dos Santos Magalhães,17,34,2.5982142857142856,224
22,Đorđe Petrović,3,6,Elijah Adebayo,17,34,2.5555555555555554,225
23,Michael Olise,1,2,Phil Foden,20,40,2.68,225
24,Phil Foden,3,6,Declan Rice,17,34,2.7442922374429224,219
25,Bukayo Saka,15,30,Bukayo Saka,15,30,2.451492537313433,268
26,Bukayo Saka,10,20,Jarrod Bowen,20,40,2.8777777777777778,180
27,Bukayo Saka,7,14,Phil Foden,15,30,2.81447963800905,221
28,Bukayo Saka,2,4,Son Heung-min,17,34,2.5877551020408163,245
29,Ollie Watkins,2,4,Rodrigo Muniz Carvalho,13,26,2.4367816091954024,87
30,Kai Havertz,3,6,Alexander Isak,15,30,2.403669724770642,218
31,Kai Havertz,5,10,Cole Palmer,20,40,2.767123287671233,219
32,Cole Palmer,5,10,Kevin De Bruyne,18,36,2.6026785714285716,224
33,Cole Palmer,26,52,Cole Palmer,26,52,2.682819383259912,227
34,Cole Palmer,0,0,Benjamin White,20,40,2.7828947368421053,304
35,Bruno Borges Fernandes,4,8,Joško Gvardiol,15,30,2.6016260162601625,246
36,Bruno Borges Fernandes,0,0,Erling Haaland,21,42,3.2133333333333334,225
37,Joško Gvardiol,6,12,Joško Gvardiol,21,42,2.872852233676976,291
38,Joško Gvardiol,2,4,Jean-Philippe Mateta,20,40,2.8716814159292037,226
