name,position,team,opponent_team,was_home,GW,value,minutes,total_points,form_points,form_minutes,form_ict,last_gw_points,season_form_points,opp_goals_conceded_form,opp_goals_scored_form,fixture_difficulty
Aaron Connolly,FWD,Brighton,12,True,1,45,0,0,,,,,,,,2
Aaron Connolly,FWD,Brighton,20,False,2,45,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2
Aaron Connolly,FWD,Brighton,19,True,3,45,0,0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2
Aaron Connolly,FWD,Brighton,15,True,4,45,0,0,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,2.0,3
Aaron Connolly,FWD,Brighton,14,False,5,45,0,0,0.0,0.0,0.0,0.0,0.0,1.75,1.25,4
Aaron Connolly,FWD,Brighton,3,True,6,45,0,0,0.0,0.0,0.0,0.0,0.0,1.75,0.75,2
Aaron Connolly,FWD,Brighton,2,False,7,45,0,0,0.0,0.0,0.0,0.0,0.0,1.25,1.75,4
Aaron Connolly,FWD,Brighton,11,True,8,45,0,0,0.0,0.0,0.0,0.0,0.0,1.0,2.5,4
Aaron Connolly,FWD,Brighton,13,False,9,45,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,5
Aaron Connolly,FWD,Brighton,10,True,10,45,0,0,0.0,0.0,0.0,0.0,0.0,1.25,0.75,2
Aaron Connolly,FWD,Brighton,9,False,11,45,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.25,2
Aaron Connolly,FWD,Brighton,17,True,12,45,0,0,0.0,0.0,0.0,0.0,0.0,2.75,1.0,2
Aaron Connolly,FWD,Brighton,16,False,13,45,0,0,0.0,0.0,0.0,0.0,0.0,2.0,1.5,2
Aaron Connolly,FWD,Brighton,7,False,14,45,0,0,0.0,0.0,0.0,0.0,0.0,2.75,2.25,3
Aaron Connolly,FWD,Brighton,4,True,15,45,0,0,0.0,0.0,0.0,0.0,0.0,1.75,1.5,2
Aaron Connolly,FWD,Brighton,6,True,16,45,0,0,0.0,0.0,0.0,0.0,0.0,1.5,1.75,2
Aaron Connolly,FWD,Brighton,1,False,17,45,0,0,0.0,0.0,0.0,0.0,0.0,1.25,1.75,5
Aaron Connolly,FWD,Brighton,8,False,18,45,0,0,0.0,0.0,0.0,0.0,0.0,1.75,1.0,2
Aaron Connolly,FWD,Brighton,18,True,19,45,0,0,0.0,0.0,0.0,0.0,0.0,1.0,2.25,3
Aaron Connolly,FWD,Brighton,19,False,20,45,0,0,0.0,0.0,0.0,0.0,0.0,1.25,1.75,3
Aaron Connolly,FWD,Brighton,20,True,21,45,0,0,0.0,0.0,0.0,0.0,0.0,1.25,2.25,2
Aaron Connolly,FWD,Brighton,12,False,22,45,0,0,0.0,0.0,0.0,0.0,0.0,1.5,1.75,2
Aaron Connolly,FWD,Brighton,8,True,23,45,0,0,0.0,0.0,0.0,0.0,0.0,2.5,1.75,2
Aaron Connolly,FWD,Brighton,18,False,24,45,0,0,0.0,0.0,0.0,0.0,0.0,1.75,2.5,4
Aaron Connolly,FWD,Brighton,17,False,25,45,0,0,0.0,0.0,0.0,0.0,0.0,2.75,1.75,2
Aaron Connolly,FWD,Brighton,9,True,26,45,0,0,0.0,0.0,0.0,0.0,0.0,1.25,0.75,2
Aaron Connolly,FWD,Brighton,10,False,27,45,0,0,0.0,0.0,0.0,0.0,0.0,1.5,2.0,3
Aaron Connolly,FWD,Brighton,16,True,28,45,0,0,0.0,0.0,0.0,0.0,0.0,2.0,1.5,2
Aaron Connolly,FWD,Brighton,11,False,30,45,0,0,0.0,0.0,0.0,0.0,0.0,0.75,2.25,5
Aaron Connolly,FWD,Brighton,4,False,31,45,0,0,0.0,0.0,0.0,0.0,0.0,1.75,1.25,2
Aaron Connolly,FWD,Brighton,1,True,32,45,0,0,0.0,0.0,0.0,0.0,0.0,0.25,2.5,5
Aaron Connolly,FWD,Brighton,6,False,33,45,0,0,0.0,0.0,0.0,0.0,0.0,1.25,1.25,2
Aaron Connolly,FWD,Brighton,13,True,34,45,0,0,0.0,0.0,0.0,0.0,0.0,1.0,3.25,5
Aaron Connolly,FWD,Brighton,3,False,35,45,0,0,0.0,0.0,0.0,0.0,0.0,1.75,1.25,2
Aaron Connolly,FWD,Brighton,2,True,36,45,0,0,0.0,0.0,0.0,0.0,0.0,1.5,2.5,3
Aaron Connolly,FWD,Brighton,15,False,37,45,0,0,0.0,0.0,0.0,0.0,0.0,1.0,3.25,4
Aaron Connolly,FWD,Brighton,7,True,37,45,0,0,0.0,0.0,0.0,0.0,0.0,1.75,3.25,3
Aaron Connolly,FWD,Brighton,14,True,38,45,0,0,0.0,0.0,0.0,0.0,0.0,2.0,1.25,3
Aaron Cresswell,DEF,West Ham,3,False,1,45,0,0,,,,,,,,2
Aaron Cresswell,DEF,West Ham,7,True,2,45,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3
Aaron Cresswell,DEF,West Ham,5,False,3,44,0,0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3
Aaron Cresswell,DEF,West Ham,12,False,4,44,0,0,0.0,0.0,0.0,0.0,0.0,3.5,0.5,2
Aaron Cresswell,DEF,West Ham,13,True,5,43,0,0,0.0,0.0,0.0,0.0,0.0,0.5,2.75,5
Aaron Cresswell,DEF,West Ham,11,False,6,43,0,0,0.0,0.0,0.0,0.0,0.0,0.75,2.75,5
Aaron Cresswell,DEF,West Ham,17,True,7,43,0,0,0.0,0.0,0.0,0.0,0.0,3.5,1.0,2
Aaron Cresswell,DEF,West Ham,15,True,8,42,0,0,0.0,0.0,0.0,0.0,0.0,0.75,3.0,3
Aaron Cresswell,DEF,West Ham,2,False,9,42,0,0,0.0,0.0,0.0,0.0,0.0,0.75,2.75,4
Aaron Cresswell,DEF,West Ham,9,True,10,42,84,2,0.0,0.0,0.0,0.0,0.0,1.25,1.75,2
Aaron Cresswell,DEF,West Ham,4,False,11,42,0,0,0.5,21.0,0.775,2.0,0.2,0.75,1.75,2
Aaron Cresswell,DEF,West Ham,16,True,12,42,1,1,0.5,21.0,0.775,0.0,0.18181818181818182,1.25,1.0,2
