name,position,team,opponent_team,was_home,GW,value,minutes,total_points,form_points,form_minutes,form_ict,last_gw_points,season_form_points,opp_goals_conceded_form,opp_goals_scored_form,fixture_difficulty
Aaron Cresswell,DEF,West Ham,13,True,1,50,90,1,,,,,,,,5
Aaron Cresswell,DEF,West Ham,16,False,2,50,90,2,1.0,90.0,4.1,1.0,1.0,2.0,0.0,2
Aaron Cresswell,DEF,West Ham,5,True,3,50,90,0,1.5,90.0,6.1,2.0,1.5,0.5,1.0,3
Aaron Cresswell,DEF,West Ham,2,False,4,50,90,6,1.0,90.0,6.3,0.0,1.0,2.0,1.0,2
Aaron Cresswell,DEF,West Ham,18,True,5,49,71,2,2.25,90.0,5.425,6.0,2.25,0.75,2.25,3
Aaron Cresswell,DEF,West Ham,6,False,6,49,0,0,2.5,85.25,5.125,2.0,2.2,2.0,1.25,4
Aaron Cresswell,DEF,West Ham,8,False,8,48,90,2,2.0,62.75,3.1,0.0,1.8333333333333333,0.75,0.75,2
Aaron Cresswell,DEF,West Ham,20,True,9,48,90,5,2.5,62.75,2.75,2.0,1.8571428571428572,1.0,0.5,2
Aaron Cresswell,DEF,West Ham,9,True,10,48,90,2,2.25,62.75,2.7499999999999996,5.0,2.25,2.25,1.75,2
Aaron Cresswell,DEF,West Ham,17,False,11,48,90,3,2.25,67.5,3.75,2.0,2.2222222222222223,2.0,0.25,2
Aaron Cresswell,DEF,West Ham,12,False,12,48,90,2,3.0,90.0,5.525,3.0,2.3,1.5,1.5,4
Aaron Cresswell,DEF,West Ham,3,True,13,48,90,8,3.0,90.0,5.6499999999999995,2.0,2.272727272727273,1.0,1.0,2
Aaron Cresswell,DEF,West Ham,14,False,14,48,90,2,3.75,90.0,7.574999999999999,8.0,2.75,0.5,1.25,4
Aaron Cresswell,DEF,West Ham,7,True,15,48,90,1,3.75,90.0,6.699999999999999,2.0,2.6923076923076925,1.0,0.75,2
Aaron Cresswell,DEF,West Ham,10,True,16,48,90,1,3.25,90.0,5.5249999999999995,1.0,2.5714285714285716,0.25,2.0,3
Aaron Cresswell,DEF,West Ham,1,False,17,48,90,1,3.0,90.0,6.074999999999999,1.0,2.466666666666667,0.25,2.25,4
Aaron Cresswell,DEF,West Ham,4,True,18,48,90,1,1.25,90.0,3.8249999999999993,1.0,2.375,1.5,1.75,3
Aaron Cresswell,DEF,West Ham,11,False,19,48,22,1,1.0,90.0,3.8499999999999996,1.0,2.2941176470588234,2.5,2.0,2
