GW,heuristic_captain,heuristic_captain_pts,heuristic_captain_pts_doubled,best_possible_captain,best_possible_pts,best_possible_pts_doubled,field_average_pts,eligible_pool_size
2,Fabian Schär,5,10,Gabriel Fernando de Jesus,19,38,3.1531531531531534,222
3,Rodrigo Moreno,13,26,Martin Ødegaard,16,32,2.978165938864629,229
4,Rodrigo Moreno,2,4,Roberto Firmino,22,44,3.02212389380531,226
5,Erling Haaland,17,34,Erling Haaland,17,34,2.6299559471365637,227
6,Erling Haaland,9,18,Marcus Rashford,18,36,2.774774774774775,222
8,Erling Haaland,6,12,Son Heung-min,19,38,3.006289308176101,159
9,Erling Haaland,23,46,Erling Haaland,23,46,2.982300884955752,226
10,Erling Haaland,6,12,João Cancelo,18,36,2.5458515283842793,229
11,Erling Haaland,2,4,Mason Mount,15,30,2.9732142857142856,224
12,Leandro Trossard,3,6,Alisson Ramses Becker,15,30,3.078048780487805,205
13,Phil Foden,1,2,Kurt Zouma,15,30,2.9260869565217393,230
14,Erling Haaland,0,0,Callum Wilson,19,38,2.9910714285714284,224
15,Miguel Almirón Rejala,8,16,Marcus Tavernier,16,32,2.704035874439462,223
16,Miguel Almirón Rejala,6,12,Martin Ødegaard,16,32,2.7901785714285716,224
17,Miguel Almirón Rejala,8,16,Aleksandar Mitrović,15,30,2.6940639269406392,219
18,Kieran Trippier,8,16,Martin Ødegaard,13,26,2.807017543859649,228
19,Martin Ødegaard,2,4,Harry Kane,16,32,2.929460580912863,241
20,Martin Ødegaard,9,18,Solly March,19,38,2.7765151515151514,264
21,Solly March,2,4,Erling Haaland,17,34,2.9502262443438916,221
22,Bruno Borges Fernandes,2,4,James Tarkowski,15,30,2.6040816326530614,245
23,Keylor Navas,1,2,Kevin De Bruyne,13,26,2.362264150943396,265
24,Solly March,2,4,Emerson Leite de Souza Junior,15,30,2.7304347826086954,230
25,Ollie Watkins,6,12,Gabriel Martinelli Silva,16,32,2.922374429223744,219
26,Marcus Rashford,2,4,Mohamed Salah,21,42,2.8294930875576036,217
27,Mohamed Salah,0,0,Leandro Trossard,15,30,2.9656488549618323,262
28,Gabriel Martinelli Silva,7,14,Bukayo Saka,18,36,2.6184210526315788,152
29,Bukayo Saka,1,2,Nayef Aguerd,15,30,2.593220338983051,354
30,Ollie Watkins,7,14,Michael Olise,14,28,2.403669724770642,218
31,Harry Kane,2,4,Diogo Teixeira da Silva,16,32,2.704035874439462,223
32,Ollie Watkins,2,4,Alexander Isak,13,26,3.052325581395349,172
33,Ollie Watkins,2,4,Kevin De Bruyne,19,38,2.6396396396396398,222
34,Kevin De Bruyne,0,0,Jefferson Lerma Solís,15,30,2.595890410958904,292
35,Erling Haaland,2,4,Dwight McNeil,21,42,2.885321100917431,218
36,Callum Wilson,12,24,Ilkay Gündogan,19,38,3.0040650406504064,246
37,Mohamed Salah,5,10,Bryan Mbeumo,16,32,2.516728624535316,269
38,Mohamed Salah,5,10,Harry Kane,16,32,2.56,225
